# Sparvio 1.5.0 log file. Logging started at 09:59:41.429 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; SKH1_70727633.lat; SKH1_70727633.lon; SKH1_70727633.alt
10:01:19.306; 99847; 7.477; 30.35; 44.44; 45.513593; 9.211391; 287.9
10:01:20.306; 99846; 7.461; 30.36; 44.34; 45.5136; 9.211376; 281.9
10:01:21.306; 99845; 7.517; 30.39; 44.2; 45.513631; 9.21135; 273.4
10:01:22.306; 99843; 7.478; 30.41; 44.1; 45.513651; 9.211328; 269.7
10:01:23.306; 99840; 7.502; 30.39; 43.88; 45.513648; 9.21132; 267.7
10:01:24.306; 99838; 7.456; 30.41; 43.73; 45.51366; 9.211286; 262.9
10:01:25.307; 99837; 7.44; 30.43; 43.61; 45.513675; 9.211266; 256.9
10:01:26.306; 99838; 7.446; 30.38; 43.56; 45.513676; 9.211251; 253.5
10:01:27.307; 99840; 7.479; 30.38; 43.51; 45.51367; 9.211225; 253.6
10:01:28.307; 99842; 7.438; 30.36; 43.4; 45.51365; 9.211226; 257.6
10:01:29.307; 99842; 7.484; 30.36; 43.47; 45.513645; 9.211253; 257.2
10:01:30.306; 99836; 7.483; 30.35; 43.39; 45.513643; 9.211268; 257.2
10:01:31.306; 99838; 7.469; 30.26; 43.39; 45.513685; 9.211245; 247.0
10:01:32.306; 99841; 7.465; 30.25; 43.42; 45.513683; 9.211193; 248.3
10:01:33.306; 99842; 7.443; 30.22; 43.43; 45.513655; 9.211216; 253.4
10:01:34.306; 99846; 7.451; 30.19; 43.57; 45.513666; 9.211233; 247.7
10:01:35.306; 99848; 7.455; 30.21; 43.83; 45.513655; 9.211221; 243.4
10:01:36.306; 99847; 7.473; 30.24; 44.11; 45.513596; 9.211248; 254.2
10:01:37.306; 99846; 7.517; 30.26; 44.39; 45.513563; 9.211216; 252.2
10:01:38.308; 99846; 7.495; 30.29; 44.54; 45.51352; 9.211218; 258.3
10:01:39.306; 99845; 7.461; 30.31; 44.34; 45.513501; 9.211266; 264.6
10:01:40.306; 99846; 7.517; 30.35; 44.34; 45.5135; 9.211225; 258.2
10:01:41.306; 99844; 7.458; 30.41; 44.23; 45.513503; 9.211253; 260.2
10:01:42.306; 99842; 7.477; 30.41; 44.05; 45.51351; 9.211263; 259.1
10:01:43.306; 99841; 7.505; 30.43; 43.95; 45.513478; 9.211241; 264.3
10:01:44.321; 99843; 7.452; 30.41; 43.73; 45.513453; 9.21125; 267.7
10:01:45.321; 99843; 7.503; 30.42; 43.67; 45.513445; 9.211221; 268.6
10:01:46.320; 99843; 7.467; 30.42; 43.52; 45.513445; 9.21123; 258.9
10:01:47.320; 99844; 7.489; 30.36; 43.5; 45.513436; 9.211243; 254.4
10:01:48.320; 99844; 7.44; 30.36; 43.51; 45.5134; 9.21124; 260.2
10:01:49.320; 99843; 7.469; 30.38; 43.47; 45.513363; 9.211253; 261.1
10:01:50.320; 99842; 7.443; 30.33; 43.43; 45.513361; 9.211261; 261.7
10:01:51.320; 99843; 7.502; 30.32; 43.46; 45.51333; 9.211303; 267.0
10:01:52.320; 99843; 7.458; 30.32; 43.57; 45.513333; 9.211348; 266.0
10:01:53.322; 99844; 7.478; 30.33; 43.59; 45.513373; 9.211331; 265.7
10:01:54.320; 99844; 7.465; 30.35; 43.71; 45.51345; 9.211301; 269.5
10:01:55.321; 99845; 7.487; 30.39; 43.98; 45.513488; 9.211315; 272.1
10:01:56.320; 99845; 7.497; 30.38; 44.07; 45.513501; 9.211356; 273.4
10:01:57.320; 99844; 7.46; 30.42; 44.35; 45.513535; 9.211398; 264.6
