# Sparvio 1.5.0 log file. Logging started at 12:01:19.170 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:03:13.243; 100369; 7.108; 26.39; 54.43
12:03:14.243; 100370; 7.139; 26.4; 54.45
12:03:15.243; 100371; 7.189; 26.37; 54.51
12:03:16.316; 100371; 7.14; 26.34; 54.51
12:03:17.316; 100371; 7.115; 26.34; 54.53
12:03:18.316; 100371; 7.138; 26.37; 54.6
12:03:19.316; 100371; 7.148; 26.36; 54.59
12:03:20.316; 100371; 7.144; 26.34; 54.65
12:03:21.316; 100371; 7.15; 26.33; 54.7
12:03:22.316; 100371; 7.152; 26.33; 54.67
12:03:23.317; 100373; 7.119; 26.32; 54.74
12:03:24.316; 100372; 7.103; 26.3; 54.77
12:03:25.316; 100373; 7.137; 26.32; 54.78
12:03:26.318; 100372; 7.124; 26.33; 54.86
12:03:27.316; 100373; 7.129; 26.29; 54.82
12:03:28.316; 100374; 7.11; 26.26; 54.91
12:03:29.316; 100373; 7.172; 26.3; 54.92
12:03:30.316; 100372; 7.141; 26.23; 54.89
12:03:31.316; 100373; 7.13; 26.26; 54.94
12:03:32.316; 100373; 7.144; 26.26; 55.04
12:03:33.316; 100374; 7.111; 26.25; 55.0
12:03:34.316; 100373; 7.121; 26.23; 55.03
12:03:35.316; 100372; 7.14; 26.26; 55.06
12:03:36.316; 100373; 7.108; 26.23; 55.07
12:03:37.316; 100373; 7.158; 26.23; 55.14
12:03:38.316; 100373; 7.135; 26.2; 55.13
12:03:39.316; 100373; 7.165; 26.22; 55.15
12:03:40.316; 100374; 7.161; 26.2; 55.21
12:03:41.316; 100380; 7.173; 26.22; 55.2
12:03:42.316; 100383; 7.148; 26.22; 55.26
12:03:43.316; 100375; 7.178; 26.19; 55.3
12:03:44.316; 100378; 7.115; 26.22; 55.33
12:03:45.316; 100411; 7.099; 26.23; 55.12
12:03:46.311; 100366; 7.168; 26.23; 54.94
12:03:47.311; 100370; 7.132; 26.25; 54.8
12:03:48.311; 100372; 7.125; 26.23; 54.62
12:03:49.311; 100374; 7.147; 26.23; 54.5
12:03:50.312; 100375; 7.144; 26.23; 54.29
12:03:51.312; 100376; 7.084; 26.23; 54.13
12:03:52.311; 100377; 7.142; 26.16; 53.99
12:03:53.312; 100377; 7.12; 26.15; 53.89
12:03:54.311; 100379; 7.181; 26.09; 53.76
12:03:55.311; 100378; 7.104; 26.02; 53.61
12:03:56.311; 100378; 7.116; 25.99; 53.55
12:03:57.311; 100378; 7.089; 25.92; 53.41
12:03:58.311; 100378; 7.172; 25.85; 53.35
12:03:59.311; 100378; 7.158; 25.81; 53.27
12:04:00.311; 100377; 7.115; 25.68; 53.24
12:04:01.311; 100378; 7.093; 25.64; 53.2
12:04:02.311; 100379; 7.131; 25.54; 53.18
12:04:03.311; 100378; 7.125; 25.46; 53.11
12:04:04.312; 100378; 7.102; 25.34; 53.08
12:04:05.311; 100378; 7.144; 25.23; 53.15
12:04:06.311; 100380; 7.096; 25.13; 53.09
12:04:07.311; 100380; 7.11; 25.03; 53.09
12:04:08.311; 100378; 7.092; 24.93; 53.09
12:04:09.311; 100381; 7.122; 24.82; 53.2
12:04:10.311; 100379; 7.11; 24.71; 53.2
12:04:11.311; 100379; 7.155; 24.6; 53.23
12:04:12.311; 100380; 7.109; 24.47; 53.24
12:04:13.311; 100380; 7.159; 24.34; 53.26
12:04:14.311; 100381; 7.148; 24.23; 53.37
12:04:15.311; 100381; 7.113; 24.09; 53.44
12:04:16.305; 100381; 7.087; 23.96; 53.45
12:04:17.305; 100382; 7.118; 23.85; 53.57
12:04:18.305; 100381; 7.126; 23.71; 53.65
12:04:19.305; 100382; 7.103; 23.6; 53.73
12:04:20.305; 100381; 7.104; 23.45; 53.82
12:04:21.305; 100382; 7.139; 23.3; 53.91
12:04:22.305; 100383; 7.153; 23.19; 53.99
12:04:23.305; 100384; 7.101; 23.08; 54.04
12:04:24.305; 100382; 7.123; 22.9; 54.18
12:04:25.305; 100382; 7.094; 22.78; 54.25
12:04:26.305; 100382; 7.126; 22.65; 54.38
12:04:27.305; 100382; 7.103; 22.52; 54.49
12:04:28.305; 100382; 7.123; 22.4; 54.61
12:04:29.305; 100382; 7.102; 22.27; 54.7
12:04:30.306; 100382; 7.144; 22.15; 54.77
12:04:31.306; 100381; 7.112; 21.99; 54.9
12:04:32.306; 100382; 7.132; 21.86; 55.05
12:04:33.306; 100382; 7.132; 21.72; 55.17
12:04:34.305; 100381; 7.12; 21.61; 55.25
12:04:35.305; 100380; 7.097; 21.47; 55.41
12:04:36.305; 100383; 7.128; 21.33; 55.46
12:04:37.305; 100382; 7.153; 21.21; 55.59
12:04:38.305; 100383; 7.095; 21.07; 55.73
12:04:39.305; 100384; 7.146; 20.93; 55.79
12:04:40.305; 100383; 7.118; 20.82; 55.91
12:04:41.306; 100383; 7.112; 20.69; 56.11
12:04:42.305; 100383; 7.103; 20.58; 56.19
12:04:43.306; 100382; 7.114; 20.44; 56.32
12:04:44.305; 100382; 7.107; 20.31; 56.43
12:04:45.305; 100381; 7.081; 20.2; 56.63
12:04:46.300; 100382; 7.148; 20.09; 56.7
12:04:47.300; 100382; 7.142; 19.96; 56.83
12:04:48.300; 100382; 7.112; 19.85; 56.92
12:04:49.300; 100381; 7.167; 19.71; 57.09
12:04:50.300; 100380; 7.106; 19.61; 57.24
12:04:51.300; 100367; 7.145; 19.5; 57.38
12:04:52.300; 100381; 7.126; 19.4; 57.53
12:04:53.301; 100391; 7.089; 19.25; 57.62
12:04:54.300; 100370; 7.123; 19.17; 57.85
12:04:55.301; 100372; 7.08; 19.06; 58.21
12:04:56.300; 100375; 7.076; 18.97; 58.44
12:04:57.300; 100377; 7.085; 18.89; 58.79
12:04:58.300; 100377; 7.088; 18.83; 59.19
12:04:59.300; 100376; 7.105; 18.77; 59.69
12:05:00.300; 100377; 7.133; 18.72; 60.08
12:05:01.300; 100376; 7.134; 18.71; 60.6
12:05:02.300; 100376; 7.115; 18.69; 61.09
12:05:03.300; 100375; 7.092; 18.69; 61.59
12:05:04.301; 100375; 7.098; 18.69; 62.09
12:05:05.300; 100376; 7.111; 18.71; 62.56
12:05:06.300; 100376; 7.124; 18.71; 62.96
12:05:07.301; 100374; 7.089; 18.71; 63.43
12:05:08.300; 100375; 7.133; 18.75; 63.77
12:05:09.300; 100374; 7.123; 18.79; 64.18
12:05:10.300; 100374; 7.105; 18.85; 64.53
12:05:11.300; 100374; 7.082; 18.86; 64.81
12:05:12.300; 100372; 7.124; 18.93; 65.16
12:05:13.300; 100373; 7.11; 18.93; 65.4
12:05:14.300; 100372; 7.103; 19.02; 65.69
12:05:15.300; 100372; 7.067; 19.05; 65.95
12:05:16.300; 100372; 7.094; 19.1; 66.17
12:05:17.338; 100373; 7.078; 19.13; 66.36
12:05:18.338; 100371; 7.097; 19.18; 66.54
12:05:19.338; 100372; 7.096; 19.27; 66.68
12:05:20.338; 100373; 7.125; 19.3; 66.88
12:05:21.338; 100373; 7.121; 19.37; 66.98
12:05:22.338; 100373; 7.098; 19.42; 67.09
12:05:23.338; 100373; 7.112; 19.48; 67.2
12:05:24.338; 100373; 7.103; 19.52; 67.31
12:05:25.338; 100373; 7.09; 19.59; 67.41
12:05:26.338; 100371; 7.121; 19.65; 67.49
12:05:27.338; 100374; 7.129; 19.72; 67.52
12:05:28.338; 100374; 7.086; 19.76; 67.59
12:05:29.338; 100372; 7.063; 19.85; 67.61
12:05:30.338; 100373; 7.088; 19.89; 67.65
12:05:31.338; 100372; 7.084; 19.96; 67.65
12:05:32.338; 100372; 7.098; 20.02; 67.71
12:05:33.338; 100373; 7.091; 20.09; 67.7
12:05:34.339; 100373; 7.124; 20.16; 67.71
12:05:35.338; 100372; 7.086; 20.21; 67.68
12:05:36.338; 100373; 7.111; 20.28; 67.67
12:05:37.338; 100372; 7.087; 20.32; 67.66
12:05:38.338; 100372; 7.117; 20.4; 67.68
12:05:39.338; 100372; 7.099; 20.47; 67.69
12:05:40.338; 100374; 7.074; 20.52; 67.6
12:05:41.338; 100374; 7.1; 20.58; 67.56
12:05:42.338; 100374; 7.077; 20.65; 67.51
12:05:43.338; 100376; 7.142; 20.71; 67.5
12:05:44.338; 100376; 7.114; 20.78; 67.46
12:05:45.338; 100377; 7.119; 20.83; 67.41
12:05:46.338; 100377; 7.097; 20.92; 67.36
12:05:47.324; 100376; 7.077; 20.93; 67.27
12:05:48.324; 100377; 7.098; 21.02; 67.25
12:05:49.324; 100377; 7.103; 21.07; 67.17
12:05:50.324; 100376; 7.102; 21.12; 67.13
12:05:51.324; 100376; 7.087; 21.21; 67.03
12:05:52.324; 100377; 7.092; 21.26; 66.98
12:05:53.324; 100376; 7.08; 21.3; 66.91
12:05:54.324; 100376; 7.058; 21.37; 66.85
12:05:55.324; 100376; 7.108; 21.42; 66.79
12:05:56.325; 100374; 7.141; 21.48; 66.69
12:05:57.324; 100374; 7.095; 21.54; 66.64
12:05:58.325; 100374; 7.05; 21.61; 66.51
12:05:59.328; 100376; 7.084; 21.65; 66.51
12:06:00.325; 100375; 7.101; 21.72; 66.44
12:06:01.324; 100373; 7.085; 21.78; 66.37
12:06:02.325; 100375; 7.026; 21.82; 66.21
12:06:03.324; 100375; 7.09; 21.89; 66.16
12:06:04.325; 100375; 7.135; 21.93; 66.11
12:06:05.324; 100382; 7.096; 22.0; 66.02
12:06:06.325; 100389; 7.124; 22.06; 65.94
12:06:07.325; 100374; 7.069; 22.15; 65.88
12:06:08.325; 100417; 7.13; 22.2; 65.87
12:06:09.324; 100368; 7.06; 22.27; 65.83
12:06:10.325; 100369; 7.045; 22.3; 65.8
12:06:11.324; 100372; 7.074; 22.33; 65.72
12:06:12.325; 100374; 7.098; 22.38; 65.64
