# Sparvio 1.5.0 log file. Logging started at 12:40:21.721 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:40:21.721; 100376; 8.19; 25.81; 52.46
12:40:21.984; 100379; 8.174; 25.8; 52.76
12:40:22.984; 100377; 8.178; 25.8; 53.0
12:40:23.984; 100376; 8.137; 25.8; 53.07
12:40:24.984; 100374; 8.189; 25.78; 53.02
12:40:25.984; 100376; 8.151; 25.74; 52.98
12:40:26.984; 100377; 8.207; 25.77; 52.99
12:40:27.984; 100378; 8.177; 25.78; 52.94
12:40:28.984; 100377; 8.197; 25.77; 52.93
12:40:29.984; 100376; 8.154; 25.78; 52.93
12:40:30.984; 100375; 8.174; 25.77; 52.94
12:40:31.984; 100374; 8.166; 25.75; 52.98
12:40:32.984; 100374; 8.207; 25.77; 52.91
12:40:33.984; 100373; 8.132; 25.75; 52.93
12:40:34.984; 100374; 8.179; 25.75; 52.9
12:40:35.985; 100376; 8.169; 25.77; 52.93
12:40:36.985; 100376; 8.138; 25.77; 52.9
12:40:37.985; 100377; 8.23; 25.77; 52.91
12:40:38.985; 100377; 8.162; 25.74; 52.91
12:40:39.985; 100377; 8.119; 25.75; 52.83
12:40:40.985; 100377; 8.181; 25.74; 52.82
12:40:41.985; 100375; 8.106; 25.72; 52.83
12:40:42.985; 100375; 8.214; 25.75; 52.77
12:40:43.985; 100378; 8.153; 25.75; 52.75
12:40:44.985; 100377; 8.2; 25.71; 52.71
12:40:45.985; 100379; 8.173; 25.72; 52.74
12:40:46.985; 100378; 8.141; 25.74; 52.78
12:40:47.985; 100378; 8.168; 25.72; 52.75
12:40:48.985; 100377; 8.175; 25.74; 52.78
12:40:49.984; 100376; 8.217; 25.72; 52.7
12:40:50.984; 100377; 8.171; 25.71; 52.71
12:40:51.984; 100376; 8.15; 25.71; 52.75
12:40:52.984; 100376; 8.16; 25.74; 52.72
12:40:53.984; 100375; 8.191; 25.72; 52.74
12:40:54.984; 100376; 8.118; 25.71; 52.74
12:40:55.984; 100376; 8.192; 25.71; 52.7
12:40:56.984; 100376; 8.199; 25.71; 52.75
12:40:57.984; 100376; 8.125; 25.72; 52.75
12:40:58.984; 100377; 8.206; 25.74; 52.74
12:40:59.984; 100377; 8.164; 25.7; 52.75
12:41:00.984; 100376; 8.157; 25.72; 52.74
12:41:01.984; 100375; 8.153; 25.7; 52.76
12:41:02.984; 100374; 8.14; 25.7; 52.85
12:41:03.985; 100376; 8.174; 25.7; 52.92
12:41:04.985; 100378; 8.159; 25.65; 52.96
12:41:05.985; 100383; 8.2; 25.59; 52.84
12:41:06.985; 100384; 8.178; 25.54; 52.34
