# Sparvio 1.5.0 log file. Logging started at 13:23:30.420 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.007
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.006

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
13:23:38.915; 100791; 7.435; 24.79; 18.44; 0.11; 62; -0.09; -0.04; 0.06; 20.26; 37.8; 100964; 19.9; -19.1; 39
13:23:39.115; ; ; ; ; 0.13; 62; -0.09; -0.05; 0.08; 20.24; 37.8; 100966; 19.9; -19.1; 39
13:23:39.315; ; ; ; ; 0.12; 65; -0.09; -0.04; 0.07; 20.22; 37.9; 100964; 19.9; -19.1; 39
13:23:39.515; ; ; ; ; 0.12; 65; -0.08; -0.04; 0.09; 20.22; 37.8; 100963; 19.9; -19.1; 39
13:23:39.715; ; ; ; ; 0.1; 51; -0.06; -0.05; 0.06; 20.2; 37.9; 100965; 19.9; -19.1; 39
13:23:39.917; 100789; 7.466; 24.81; 18.37; 0.14; 73; -0.1; -0.03; 0.08; 20.18; 38.0; 100963; 19.9; -19.1; 39
13:23:40.115; ; ; ; ; 0.09; 63; -0.06; -0.03; 0.06; 20.16; 38.1; 100963; 19.9; -19.1; 39
13:23:40.315; ; ; ; ; 0.11; 58; -0.08; -0.05; 0.06; 20.15; 38.0; 100962; 19.9; -19.1; 39
13:23:40.515; ; ; ; ; 0.08; 50; -0.05; -0.04; 0.04; 20.16; 38.0; 100962; 19.9; -19.1; 39
13:23:40.715; ; ; ; ; 0.1; 60; -0.08; -0.04; 0.05; 20.13; 38.0; 100964; 19.9; -19.1; 39
13:23:40.915; 100789; 7.442; 24.78; 18.32; 0.12; 59; -0.09; -0.06; 0.06; 20.1; 38.1; 100963; 19.9; -19.1; 39
13:23:41.115; ; ; ; ; 0.11; 61; -0.09; -0.05; 0.04; 20.12; 38.1; 100963; 19.9; -19.1; 39
13:23:41.315; ; ; ; ; 0.11; 63; -0.08; -0.04; 0.05; 20.09; 38.2; 100962; 19.9; -19.1; 39
13:23:41.515; ; ; ; ; 0.12; 59; -0.09; -0.05; 0.06; 20.09; 38.2; 100964; 19.9; -19.1; 39
13:23:41.715; ; ; ; ; 0.1; 58; -0.07; -0.04; 0.06; 20.1; 38.2; 100963; 19.9; -19.1; 39
13:23:41.917; 100788; 7.481; 24.81; 18.36; 0.09; 65; -0.06; -0.03; 0.07; 20.09; 38.2; 100963; 19.9; -19.1; 39
13:23:42.115; ; ; ; ; 0.09; 54; -0.06; -0.05; 0.05; 20.08; 38.2; 100963; 19.9; -19.1; 39
13:23:42.315; ; ; ; ; 0.11; 63; -0.08; -0.04; 0.06; 20.07; 38.3; 100964; 19.9; -19.1; 39
13:23:42.515; ; ; ; ; 0.09; 57; -0.06; -0.04; 0.05; 20.08; 38.3; 100964; 19.9; -19.1; 39
13:23:42.714; ; ; ; ; 0.09; 67; -0.07; -0.03; 0.06; 20.08; 38.2; 100964; 19.9; -19.1; 39
13:23:42.914; 100787; 7.442; 24.81; 18.33; 0.14; 67; -0.1; -0.04; 0.08; 20.1; 38.2; 100965; 19.9; -19.1; 39
13:23:43.115; ; ; ; ; 0.08; 59; -0.05; -0.03; 0.06; 20.12; 38.0; 100964; 19.9; -19.1; 39
13:23:43.315; ; ; ; ; 0.1; 57; -0.06; -0.04; 0.07; 20.14; 38.1; 100965; 19.9; -19.1; 39
13:23:43.515; ; ; ; ; 0.08; 55; -0.05; -0.04; 0.05; 20.17; 38.0; 100964; 19.9; -19.1; 39
13:23:43.715; ; ; ; ; 0.12; 64; -0.09; -0.04; 0.07; 20.19; 38.0; 100965; 19.9; -19.1; 39
13:23:43.916; 100788; 7.461; 24.82; 18.32; 0.09; 65; -0.06; -0.03; 0.06; 20.23; 37.9; 100964; 19.9; -19.1; 39
13:23:44.115; ; ; ; ; 0.09; 50; -0.05; -0.04; 0.06; 20.25; 37.8; 100964; 19.9; -19.1; 39
13:23:44.314; ; ; ; ; 0.09; 65; -0.06; -0.03; 0.06; 20.26; 37.9; 100965; 19.9; -19.1; 39
13:23:44.514; ; ; ; ; 0.08; 47; -0.04; -0.04; 0.06; 20.28; 37.8; 100963; 19.9; -19.1; 39
13:23:44.714; ; ; ; ; 0.12; 75; -0.09; -0.02; 0.08; 20.27; 37.7; 100964; 19.9; -19.1; 39
13:23:44.914; 100786; 7.447; 24.82; 18.22; 0.12; 63; -0.08; -0.04; 0.08; 20.27; 37.8; 100964; 19.9; -19.1; 39
13:23:45.114; ; ; ; ; 0.13; 59; -0.08; -0.05; 0.09; 20.27; 37.8; 100965; 19.9; -19.1; 39
13:23:45.315; ; ; ; ; 0.08; 52; -0.04; -0.03; 0.06; 20.26; 37.8; 100963; 19.9; -19.1; 39
13:23:45.514; ; ; ; ; 0.1; 60; -0.06; -0.03; 0.07; 20.24; 37.8; 100964; 19.9; -19.1; 39
13:23:45.714; ; ; ; ; 0.1; 83; -0.07; -0.01; 0.07; 20.2; 38.0; 100964; 19.9; -19.1; 39
13:23:45.916; 100785; 7.426; 24.86; 18.25; 0.09; 74; -0.06; -0.02; 0.06; 20.18; 38.0; 100963; 19.9; -19.1; 39
13:23:46.114; ; ; ; ; 0.09; 62; -0.06; -0.03; 0.06; 20.16; 38.0; 100964; 19.9; -19.1; 39
13:23:46.314; ; ; ; ; 0.09; 78; -0.07; -0.02; 0.06; 20.17; 38.0; 100964; 19.9; -19.1; 39
13:23:46.515; ; ; ; ; 0.11; 76; -0.09; -0.02; 0.07; 20.2; 38.0; 100963; 19.9; -19.1; 39
