# Sparvio 1.5.0 log file. Logging started at 12:51:02.973 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; SKH1_70727633.lat; SKH1_70727633.lon; SKH1_70727633.alt; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
12:51:10.283; 100281; 7.336; 32.24; 42.81; 45.510573; 9.211905; 173.9; 0.34; 11; -0.06; -0.32; -0.1; 26.74; 59.0; 100454; 1.3; 2.8; 0
12:51:10.483; ; ; ; ; ; ; ; 0.53; 6; -0.04; -0.46; -0.26; 25.81; 62.3; 100452; -2.5; 0.0; 0
12:51:10.683; ; ; ; ; ; ; ; 0.6; 353; 0.07; -0.56; -0.22; 25.74; 62.7; 100453; -3.9; -2.6; 0
12:51:10.883; ; ; ; ; ; ; ; 0.8; 328; 0.42; -0.67; -0.11; 25.64; 63.1; 100454; -9.5; -2.7; 0
12:51:11.083; ; ; ; ; ; ; ; 0.53; 328; 0.27; -0.44; -0.11; 24.36; 68.2; 100454; -10.4; -2.5; 0
12:51:11.283; 100280; 7.37; 32.18; 41.8; 45.510561; 9.211873; 177.6; 0.66; 342; 0.19; -0.59; -0.21; 24.55; 67.5; 100453; -10.1; -3.8; 0
12:51:11.484; ; ; ; ; ; ; ; 0.58; 351; 0.09; -0.56; -0.13; 25.05; 65.4; 100453; -15.0; -2.2; 0
12:51:11.682; ; ; ; ; ; ; ; 0.47; 3; -0.03; -0.47; -0.01; 25.15; 65.2; 100453; -16.0; -1.5; 0
12:51:11.882; ; ; ; ; ; ; ; 0.31; 33; -0.16; -0.25; -0.05; 25.22; 64.9; 100453; -17.0; -3.9; 0
12:51:12.082; ; ; ; ; ; ; ; 0.28; 359; 0.0; -0.24; -0.13; 24.9; 66.2; 100453; -18.1; -5.8; 0
12:51:12.282; 100281; 7.326; 32.15; 40.07; 45.510625; 9.211936; 153.4; 0.34; 312; 0.24; -0.22; -0.11; 24.67; 67.3; 100453; -12.6; -5.7; 0
12:51:12.482; ; ; ; ; ; ; ; 0.51; 6; -0.05; -0.49; -0.12; 25.23; 65.0; 100451; -11.3; -7.4; 0
12:51:12.682; ; ; ; ; ; ; ; 0.62; 12; -0.13; -0.58; -0.18; 25.35; 64.6; 100451; -10.4; -4.2; 0
12:51:12.882; ; ; ; ; ; ; ; 0.55; 47; -0.38; -0.36; -0.19; 25.05; 65.8; 100451; -11.4; -6.7; 0
12:51:13.082; ; ; ; ; ; ; ; 0.04; 99; -0.04; 0.01; -0.01; 25.16; 65.1; 100450; -12.1; -12.8; 0
12:51:13.282; 100279; 7.331; 32.14; 39.31; 45.51061; 9.211948; 155.1; 0.22; 41; -0.14; -0.16; -0.05; 25.39; 64.4; 100449; -10.0; -9.5; 0
12:51:13.484; ; ; ; ; ; ; ; 0.21; 85; -0.2; -0.02; -0.06; 24.94; 66.2; 100449; 0.2; -18.1; 0
12:51:13.682; ; ; ; ; ; ; ; 0.26; 88; -0.24; -0.01; -0.11; 25.21; 65.0; 100448; 3.6; -11.4; 0
12:51:13.882; ; ; ; ; ; ; ; 0.27; 66; -0.24; -0.11; -0.08; 25.72; 63.1; 100448; 11.1; -13.5; 0
12:51:14.082; ; ; ; ; ; ; ; 0.24; 28; -0.09; -0.17; -0.14; 25.73; 63.0; 100448; 14.2; -12.3; 0
12:51:14.282; 100278; 7.284; 32.11; 38.83; 45.510605; 9.211918; 164.7; 0.22; 11; -0.04; -0.19; -0.12; 25.76; 62.9; 100448; 17.4; -14.6; 0
12:51:14.482; ; ; ; ; ; ; ; 0.21; 73; -0.18; -0.05; -0.11; 25.82; 62.6; 100449; 23.5; -16.7; 0
12:51:14.682; ; ; ; ; ; ; ; 0.37; 145; -0.19; 0.27; -0.16; 26.19; 61.3; 100448; 23.7; -16.1; 0
12:51:14.882; ; ; ; ; ; ; ; 0.19; 174; 0.0; 0.04; -0.18; 25.72; 63.0; 100448; 31.6; -15.2; 0
12:51:15.082; ; ; ; ; ; ; ; 0.31; 21; -0.1; -0.26; -0.14; 25.81; 62.7; 100449; 28.4; -17.7; 0
12:51:15.282; 100276; 7.363; 32.04; 38.22; 45.51057; 9.211861; 161.4; 0.22; 59; -0.16; -0.1; -0.12; 25.92; 62.3; 100448; 25.3; -15.0; 0
12:51:15.483; ; ; ; ; ; ; ; 0.1; 148; -0.02; 0.03; -0.1; 25.87; 62.5; 100448; 24.5; -16.0; 0
12:51:15.681; ; ; ; ; ; ; ; 0.27; 289; 0.24; -0.08; -0.1; 25.64; 63.2; 100449; 26.6; -16.8; 0
12:51:15.881; ; ; ; ; ; ; ; 0.28; 326; 0.14; -0.2; -0.14; 25.29; 64.6; 100446; 31.4; -10.3; 0
12:51:16.083; ; ; ; ; ; ; ; 0.33; 2; -0.01; -0.3; -0.13; 25.48; 63.7; 100446; 27.1; -11.4; 0
12:51:16.283; 100276; 7.309; 32.0; 37.46; 45.510581; 9.211883; 158.6; 0.16; 0; 0.0; -0.14; -0.07; 25.39; 64.1; 100446; 26.4; -12.7; 0
12:51:16.482; ; ; ; ; ; ; ; 0.26; 39; -0.14; -0.18; -0.12; 25.84; 62.4; 100447; 27.1; -12.1; 0
12:51:16.681; ; ; ; ; ; ; ; 0.16; 94; -0.16; 0.01; 0.0; 25.99; 61.9; 100446; 24.5; -13.1; 0
12:51:16.881; ; ; ; ; ; ; ; 0.31; 344; 0.08; -0.27; -0.12; 25.92; 62.0; 100447; 24.0; -9.1; 0
12:51:17.081; ; ; ; ; ; ; ; 0.76; 1; -0.01; -0.75; -0.13; 25.29; 64.4; 100445; 22.6; -12.3; 0
12:51:17.281; 100274; 7.337; 31.92; 36.81; 45.510541; 9.211888; 180.5; 0.55; 357; 0.02; -0.53; -0.17; 25.27; 64.3; 100445; 21.8; -13.2; 0
12:51:17.483; ; ; ; ; ; ; ; 0.45; 347; 0.09; -0.4; -0.18; 25.28; 64.2; 100443; 23.3; -13.4; 0
12:51:17.681; ; ; ; ; ; ; ; 0.31; 329; 0.11; -0.18; -0.24; 25.32; 64.1; 100443; 19.6; -13.6; 0
12:51:17.881; ; ; ; ; ; ; ; 0.13; 292; 0.1; -0.04; -0.08; 25.55; 63.1; 100444; 20.2; -13.9; 0
12:51:18.081; ; ; ; ; ; ; ; 0.31; 341; 0.09; -0.26; -0.15; 25.49; 63.3; 100443; 26.2; -9.6; 0
12:51:18.281; 100269; 7.331; 31.83; 37.31; 45.510543; 9.212013; 185.2; 0.32; 357; 0.02; -0.3; -0.1; 25.41; 63.4; 100441; 22.7; -10.1; 0
12:51:18.482; ; ; ; ; ; ; ; 0.32; 345; 0.08; -0.29; -0.1; 25.14; 64.4; 100441; 25.2; -12.9; 0
12:51:18.681; ; ; ; ; ; ; ; 0.34; 294; 0.3; -0.14; -0.09; 24.76; 65.9; 100441; 23.9; -9.8; 0
12:51:18.881; ; ; ; ; ; ; ; 0.39; 303; 0.32; -0.21; -0.07; 24.78; 65.7; 100440; 23.7; -12.6; 0
12:51:19.080; ; ; ; ; ; ; ; 0.67; 342; 0.2; -0.6; -0.23; 24.87; 65.2; 100441; 25.5; -9.0; 0
12:51:19.280; 100265; 7.367; 31.74; 37.14; 45.510533; 9.212143; 183.3; 0.71; 360; 0.01; -0.69; -0.16; 24.88; 65.1; 100440; 21.7; -8.6; 0
12:51:19.483; ; ; ; ; ; ; ; 0.74; 1; -0.02; -0.67; -0.31; 25.01; 64.7; 100438; 17.9; -9.4; 0
12:51:19.680; ; ; ; ; ; ; ; 0.52; 357; 0.03; -0.5; -0.15; 25.32; 63.4; 100438; 21.8; -8.3; 0
12:51:19.880; ; ; ; ; ; ; ; 0.31; 0; 0.0; -0.29; -0.12; 25.2; 63.9; 100438; 19.5; -9.9; 0
12:51:20.080; ; ; ; ; ; ; ; 0.16; 312; 0.11; -0.1; -0.07; 25.33; 63.2; 100437; 19.3; -15.0; 0
12:51:20.280; 100261; 7.382; 31.67; 36.15; 45.510518; 9.212105; 190.0; 0.28; 296; 0.23; -0.11; -0.12; 25.29; 63.3; 100436; 17.3; -14.0; 0
12:51:20.482; ; ; ; ; ; ; ; 0.18; 298; 0.14; -0.08; -0.09; 25.32; 63.1; 100436; 16.1; -14.3; 0
12:51:20.680; ; ; ; ; ; ; ; 0.17; 298; 0.13; -0.07; -0.08; 25.62; 62.0; 100436; 17.3; -14.2; 0
12:51:20.880; ; ; ; ; ; ; ; 0.37; 358; 0.01; -0.31; -0.2; 25.54; 62.2; 100437; 19.0; -14.0; 0
12:51:21.081; ; ; ; ; ; ; ; 0.41; 4; -0.03; -0.38; -0.16; 25.52; 62.1; 100435; 21.5; -8.0; 0
12:51:21.282; 100260; 7.378; 31.65; 35.78; 45.510508; 9.211991; 185.2; 0.59; 8; -0.07; -0.52; -0.27; 26.08; 60.1; 100436; 21.8; -8.9; 0
12:51:21.483; ; ; ; ; ; ; ; 0.46; 345; 0.11; -0.43; -0.13; 26.39; 59.0; 100436; 20.8; -10.4; 0
12:51:21.679; ; ; ; ; ; ; ; 0.37; 322; 0.21; -0.27; -0.13; 26.16; 59.8; 100436; 19.9; -13.0; 0
12:51:21.880; ; ; ; ; ; ; ; 0.4; 302; 0.34; -0.21; -0.04; 25.85; 60.9; 100435; 19.5; -15.1; 0
12:51:22.080; ; ; ; ; ; ; ; 0.52; 316; 0.35; -0.36; -0.15; 25.87; 60.6; 100433; 20.1; -9.1; 0
12:51:22.280; 100259; 7.368; 31.59; 35.08; 45.510465; 9.21205; 191.0; 0.54; 328; 0.27; -0.45; -0.15; 26.2; 59.5; 100434; 22.2; -10.4; 0
12:51:22.481; ; ; ; ; ; ; ; 0.44; 336; 0.13; -0.29; -0.3; 26.98; 56.7; 100433; 21.7; -16.0; 0
12:51:22.679; ; ; ; ; ; ; ; 0.86; 199; 0.26; 0.76; -0.31; 25.65; 61.3; 100434; 13.4; -18.6; 0
12:51:22.879; ; ; ; ; ; ; ; 0.95; 183; 0.04; 0.84; -0.45; 24.84; 64.3; 100434; 13.2; -21.2; 0
12:51:23.079; ; ; ; ; ; ; ; 1.08; 183; 0.05; 1.0; -0.41; 25.47; 61.9; 100433; 17.0; -22.1; 0
12:51:23.279; 100258; 7.345; 31.51; 34.44; 45.510415; 9.212021; 191.5; 0.99; 181; 0.02; 0.97; -0.19; 25.63; 61.3; 100432; 18.7; -23.0; 0
