# Sparvio 1.5.0 log file. Logging started at 15:30:52.293 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
15:30:52.293; 99448; 8.211; 24.6; 59.68; 0.09; 4; 0.0; -0.06; -0.06; 22.42; 65.7; 99637; 3.8; -1.4; 0
15:30:52.449; ; ; ; ; 0.09; 332; 0.03; -0.05; -0.07; 22.41; 65.8; 99637; 3.6; -1.2; 0
15:30:52.583; 99448; 8.235; 24.61; 59.47; 0.07; 336; 0.02; -0.05; -0.05; 22.38; 66.0; 99638; 4.6; -1.5; 0
15:30:52.781; ; ; ; ; 0.08; 348; 0.01; -0.06; -0.06; 22.39; 65.9; 99637; 3.7; -1.4; 0
15:30:52.981; ; ; ; ; 0.06; 336; 0.01; -0.03; -0.05; 22.36; 65.9; 99638; 3.7; -1.5; 0
15:30:53.185; ; ; ; ; 0.09; 347; 0.01; -0.06; -0.06; 22.36; 65.9; 99638; 3.7; -1.5; 0
15:30:53.381; ; ; ; ; 0.07; 334; 0.02; -0.04; -0.06; 22.36; 65.9; 99638; 3.9; -1.3; 0
15:30:53.581; 99450; 8.233; 24.63; 59.27; 0.06; 360; 0.0; -0.04; -0.04; 22.36; 66.0; 99636; 4.0; -1.0; 0
