# Sparvio 1.5.0 log file. Logging started at 12:34:41.372 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:34:41.372; 99485; 7.452; 25.13; 49.64
12:34:41.985; 99483; 7.547; 25.09; 49.55
12:34:42.985; 99484; 7.555; 25.1; 49.53
12:34:43.985; 99484; 7.553; 25.1; 50.18
12:34:44.985; 99484; 7.52; 25.12; 50.86
12:34:45.985; 99483; 7.54; 25.1; 51.21
12:34:46.985; 99483; 7.583; 25.1; 51.43
