# Sparvio 1.5.0 log file. Logging started at 15:27:28.520 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
15:27:36.941; 100302; 7.539; 22.88; 34.09; 0.09; 320; 0.02; -0.03; -0.08; 21.63; 31.8; 100489; 3.5; -3.7; 0
15:27:37.139; ; ; ; ; 0.07; 5; 0.0; -0.03; -0.06; 21.64; 31.8; 100491; 3.3; -4.0; 0
15:27:37.336; ; ; ; ; 0.14; 11; -0.02; -0.08; -0.11; 21.62; 31.9; 100489; 3.5; -3.6; 0
15:27:37.547; ; ; ; ; 0.13; 1; 0.0; -0.09; -0.09; 21.6; 32.0; 100488; 3.9; -3.2; 0
15:27:37.736; ; ; ; ; 0.09; 358; 0.0; -0.06; -0.06; 21.6; 32.0; 100489; 3.6; -3.5; 0
15:27:37.936; 100302; 7.504; 22.89; 33.72; 0.1; 341; 0.02; -0.05; -0.08; 21.58; 32.0; 100489; 3.6; -3.6; 0
15:27:38.138; ; ; ; ; 0.09; 347; 0.01; -0.04; -0.08; 21.56; 32.0; 100490; 3.5; -3.6; 0
15:27:38.336; ; ; ; ; 0.11; 4; 0.0; -0.07; -0.09; 21.58; 32.0; 100489; 3.6; -3.5; 0
15:27:38.548; ; ; ; ; 0.09; 15; -0.01; -0.05; -0.07; 21.56; 32.1; 100489; 3.8; -3.4; 0
15:27:38.736; ; ; ; ; 0.12; 359; 0.0; -0.06; -0.1; 21.58; 32.0; 100490; 3.7; -3.5; 0
15:27:38.936; 100303; 7.547; 22.9; 33.05; 0.1; 351; 0.01; -0.05; -0.09; 21.57; 32.1; 100489; 3.7; -3.5; 0
15:27:39.140; ; ; ; ; 0.11; 6; -0.01; -0.06; -0.09; 21.55; 32.1; 100488; 3.7; -3.5; 0
15:27:39.336; ; ; ; ; 0.09; 358; 0.0; -0.04; -0.07; 21.56; 32.1; 100490; 3.7; -3.5; 0
15:27:39.548; ; ; ; ; 0.09; 346; 0.01; -0.05; -0.07; 21.54; 32.2; 100490; 3.7; -3.4; 0
15:27:39.736; ; ; ; ; 0.08; 0; 0.0; -0.05; -0.06; 21.55; 32.1; 100491; 3.7; -3.4; 0
15:27:39.936; 100303; 7.518; 22.9; 32.43; 0.1; 356; 0.0; -0.05; -0.09; 21.54; 32.1; 100490; 3.6; -3.5; 0
15:27:40.138; ; ; ; ; 0.13; 4; -0.01; -0.09; -0.09; 21.52; 32.1; 100489; 3.6; -3.5; 0
15:27:40.336; ; ; ; ; 0.09; 351; 0.01; -0.06; -0.06; 21.54; 32.1; 100490; 3.7; -3.5; 0
15:27:40.548; ; ; ; ; 0.09; 338; 0.02; -0.05; -0.08; 21.52; 32.2; 100490; 3.7; -3.4; 0
15:27:40.736; ; ; ; ; 0.11; 349; 0.01; -0.08; -0.07; 21.52; 32.2; 100490; 3.9; -3.3; 0
15:27:40.936; 100300; 7.569; 22.89; 31.84; 0.13; 349; 0.02; -0.09; -0.1; 21.53; 32.2; 100490; 6.7; -5.3; 0
15:27:41.140; ; ; ; ; 0.08; 344; 0.01; -0.02; -0.08; 21.52; 32.2; 100490; -2.5; -0.7; 0
15:27:41.336; ; ; ; ; 0.09; 354; 0.0; -0.04; -0.08; 21.52; 32.2; 100488; 4.4; -7.2; 0
15:27:41.548; ; ; ; ; 0.09; 284; 0.03; -0.01; -0.08; 21.55; 32.2; 100490; 4.6; -2.9; 0
15:27:41.736; ; ; ; ; 0.09; 318; 0.03; -0.04; -0.08; 21.56; 32.1; 100489; 3.7; -1.9; 0
15:27:41.936; 100300; 7.541; 22.89; 31.3; 0.09; 1; 0.0; -0.02; -0.09; 21.57; 32.1; 100490; 3.4; -4.5; 0
15:27:42.138; ; ; ; ; 0.09; 354; 0.01; -0.07; -0.06; 21.59; 32.1; 100489; 3.5; -3.7; 0
15:27:42.336; ; ; ; ; 0.08; 342; 0.01; -0.02; -0.07; 21.59; 32.1; 100489; 3.2; -3.6; 0
15:27:42.549; ; ; ; ; 0.1; 0; 0.0; -0.06; -0.07; 21.62; 32.0; 100490; 3.4; -3.3; 0
15:27:42.736; ; ; ; ; 0.11; 8; -0.01; -0.07; -0.08; 21.69; 31.9; 100489; 4.6; -4.6; 0
15:27:42.936; 100303; 7.51; 22.89; 30.78; 0.11; 359; 0.0; -0.08; -0.08; 21.72; 31.8; 100490; 3.5; -3.9; 0
15:27:43.139; ; ; ; ; 0.12; 356; 0.0; -0.07; -0.1; 21.71; 31.9; 100489; 3.6; -3.3; 0
15:27:43.336; ; ; ; ; 0.08; 4; 0.0; -0.04; -0.07; 21.74; 31.8; 100489; 3.5; -3.4; 0
15:27:43.548; ; ; ; ; 0.06; 336; 0.01; -0.02; -0.06; 21.71; 31.8; 100489; 3.6; -4.0; 0
