# Sparvio 1.5.0 log file. Logging started at 12:41:21.472 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:41:21.472; 99476; 7.541; 25.33; 49.39
12:41:21.985; 99476; 7.513; 25.3; 49.35
12:41:22.986; 99476; 7.504; 25.33; 49.36
12:41:23.985; 99477; 7.494; 25.32; 49.28
12:41:24.985; 99477; 7.539; 25.32; 49.28
12:41:25.985; 99477; 7.51; 25.32; 49.24
12:41:26.985; 99477; 7.555; 25.36; 49.23
12:41:27.985; 99475; 7.509; 25.29; 49.26
