# Sparvio 1.5.0 log file. Unknown start time.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Relative time (sec); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
39.121; ; ; ; ; 0.1; 353; 0.01; -0.07; -0.07; 20.8; 64.4; 100374; 4.2; -0.9; 0
39.321; 100196; 8.204; 22.12; 60.13; 0.15; 1; 0.0; -0.11; -0.11; 20.94; 63.9; 100374; 4.1; -1.6; 0
39.521; ; ; ; ; 0.1; 16; -0.02; -0.08; -0.06; 21.06; 63.5; 100374; 3.9; -1.2; 0
39.722; ; ; ; ; 0.07; 340; 0.01; -0.02; -0.07; 21.05; 63.5; 100374; 4.0; -1.4; 0
39.920; ; ; ; ; 0.07; 324; 0.01; -0.01; -0.07; 21.05; 63.5; 100375; 4.3; -1.2; 0
40.120; ; ; ; ; 0.1; 8; -0.01; -0.05; -0.09; 21.04; 63.5; 100374; 3.8; -1.4; 0
40.320; 100196; 8.192; 22.13; 60.13; 0.14; 6; -0.01; -0.1; -0.1; 21.0; 63.8; 100375; 4.2; -1.3; 0
40.521; ; ; ; ; 0.12; 355; 0.01; -0.06; -0.1; 21.04; 63.6; 100374; 4.0; -1.4; 0
40.720; ; ; ; ; 0.08; 351; 0.01; -0.04; -0.07; 21.04; 63.6; 100375; 4.3; -1.1; 0
40.920; ; ; ; ; 0.09; 231; 0.05; 0.04; -0.06; 20.92; 64.0; 100376; 4.0; -1.4; 0
41.120; ; ; ; ; 0.13; 204; 0.03; 0.07; -0.1; 20.94; 64.1; 100375; 4.0; -1.3; 0
41.320; 100196; 8.195; 22.13; 60.14; 0.07; 220; 0.03; 0.04; -0.05; 21.11; 63.2; 100375; 4.3; -1.2; 0
41.521; ; ; ; ; 0.1; 186; 0.01; 0.07; -0.07; 21.02; 63.7; 100375; 4.2; -1.3; 0
41.724; ; ; ; ; 0.13; 187; 0.01; 0.08; -0.1; 21.04; 63.6; 100375; 3.9; -1.3; 0
41.920; ; ; ; ; 0.07; 281; 0.05; -0.01; -0.05; 21.13; 63.3; 100373; 4.1; -1.4; 0
42.120; ; ; ; ; 0.06; 283; 0.05; -0.01; -0.03; 21.03; 63.7; 100375; 4.0; -1.3; 0
42.320; 100197; 8.22; 22.12; 60.26; 0.08; 235; 0.05; 0.03; -0.05; 20.97; 63.9; 100375; 4.2; -1.2; 0
42.521; ; ; ; ; 0.09; 205; 0.03; 0.06; -0.06; 20.94; 64.0; 100374; 3.9; -1.4; 0
42.720; ; ; ; ; 0.1; 183; 0.0; 0.07; -0.07; 20.89; 64.2; 100374; 4.3; -1.1; 0
42.920; ; ; ; ; 0.1; 231; 0.06; 0.05; -0.05; 20.93; 64.1; 100374; 4.4; -1.1; 0
