# Sparvio 1.5.0 log file. Logging started at 12:33:32.870 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:33:32.870; 99491; 7.534; 24.75; 50.5
12:33:32.990; 99491; 7.591; 24.75; 50.69
12:33:33.986; 99490; 7.481; 24.77; 51.06
12:33:34.986; 99490; 7.52; 24.78; 51.72
12:33:35.986; 99491; 7.562; 24.81; 52.19
12:33:36.986; 99491; 7.511; 24.81; 52.62
12:33:37.986; 99490; 7.554; 24.81; 52.94
