# Sparvio 1.5.0 log file. Logging started at 12:40:49.322 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:40:49.322; 99476; 7.522; 25.18; 50.2
12:40:49.986; 99475; 7.485; 25.18; 50.09
12:40:50.985; 99476; 7.481; 25.16; 50.04
12:40:51.985; 99476; 7.524; 25.18; 49.94
12:40:52.985; 99475; 7.557; 25.19; 49.9
12:40:53.985; 99475; 7.482; 25.18; 49.91
12:40:54.986; 99475; 7.5; 25.2; 50.75
